"id","statistic_yyy","site_id","birth_order","birth_sex","mother_age","birth_count"
1,109,"新北市板橋區","1胎","男","未滿15歲",0
2,109,"新北市板橋區","1胎","男","15～19歲",8
3,109,"新北市板橋區","1胎","男","20～24歲",86
4,109,"新北市板橋區","1胎","男","25～29歲",254
5,109,"新北市板橋區","1胎","男","30～34歲",378
6,109,"新北市板橋區","1胎","男","35～39歲",281
7,109,"新北市板橋區","1胎","男","40～44歲",58
8,109,"新北市板橋區","1胎","男","45～49歲",5
9,109,"新北市板橋區","1胎","男","50歲以上",0
10,109,"新北市板橋區","2胎","男","未滿15歲",0
11,109,"新北市板橋區","2胎","男","15～19歲",5
12,109,"新北市板橋區","2胎","男","20～24歲",29
13,109,"新北市板橋區","2胎","男","25～29歲",87
14,109,"新北市板橋區","2胎","男","30～34歲",239
15,109,"新北市板橋區","2胎","男","35～39歲",246
16,109,"新北市板橋區","2胎","男","40～44歲",63
17,109,"新北市板橋區","2胎","男","45～49歲",5
18,109,"新北市板橋區","2胎","男","50歲以上",1
19,109,"新北市板橋區","3胎","男","未滿15歲",0
20,109,"新北市板橋區","3胎","男","15～19歲",0
21,109,"新北市板橋區","3胎","男","20～24歲",5
22,109,"新北市板橋區","3胎","男","25～29歲",21
23,109,"新北市板橋區","3胎","男","30～34歲",46
24,109,"新北市板橋區","3胎","男","35～39歲",59
25,109,"新北市板橋區","3胎","男","40～44歲",13
26,109,"新北市板橋區","3胎","男","45～49歲",2
27,109,"新北市板橋區","3胎","男","50歲以上",0
28,109,"新北市板橋區","4胎","男","未滿15歲",0
29,109,"新北市板橋區","4胎","男","15～19歲",0
30,109,"新北市板橋區","4胎","男","20～24歲",0
31,109,"新北市板橋區","4胎","男","25～29歲",2
32,109,"新北市板橋區","4胎","男","30～34歲",3
33,109,"新北市板橋區","4胎","男","35～39歲",14
34,109,"新北市板橋區","4胎","男","40～44歲",6
35,109,"新北市板橋區","4胎","男","45～49歲",0
36,109,"新北市板橋區","4胎","男","50歲以上",0
37,109,"新北市板橋區","5胎","男","未滿15歲",0
38,109,"新北市板橋區","5胎","男","15～19歲",0
39,109,"新北市板橋區","5胎","男","20～24歲",0
40,109,"新北市板橋區","5胎","男","25～29歲",0
41,109,"新北市板橋區","5胎","男","30～34歲",1
42,109,"新北市板橋區","5胎","男","35～39歲",1
43,109,"新北市板橋區","5胎","男","40～44歲",1
44,109,"新北市板橋區","5胎","男","45～49歲",0
45,109,"新北市板橋區","5胎","男","50歲以上",0
46,109,"新北市板橋區","6胎","男","未滿15歲",0
47,109,"新北市板橋區","6胎","男","15～19歲",0
48,109,"新北市板橋區","6胎","男","20～24歲",0
49,109,"新北市板橋區","6胎","男","25～29歲",0
50,109,"新北市板橋區","6胎","男","30～34歲",0
51,109,"新北市板橋區","6胎","男","35～39歲",0
52,109,"新北市板橋區","6胎","男","40～44歲",0
53,109,"新北市板橋區","6胎","男","45～49歲",0
54,109,"新北市板橋區","6胎","男","50歲以上",0
